iter	Passed	Remaining
0	30	9122
1	73	11018
2	114	11354
3	158	11731
4	207	12257
5	252	12379
6	290	12162
7	329	12010
8	364	11781
9	401	11646
10	441	11595
11	482	11569
12	522	11534
13	563	11504
14	608	11568
15	656	11644
16	734	12221
17	834	13072
18	928	13733
19	1022	14312
20	1115	14814
21	1208	15277
22	1295	15600
23	1386	15947
24	1482	16312
25	1576	16608
26	1661	16801
27	1762	17124
28	1854	17329
29	1952	17570
30	2052	17809
31	2137	17897
32	2214	17918
33	2297	17970
34	2385	18062
35	2468	18100
36	2549	18123
37	2642	18216
38	2736	18314
39	2828	18382
40	2918	18437
41	3008	18479
42	3132	18724
43	3233	18811
44	3320	18817
45	3410	18831
46	3493	18807
47	3584	18820
48	3680	18851
49	3775	18875
50	3860	18848
51	3943	18809
52	4034	18800
53	4127	18803
54	4218	18791
55	4305	18761
56	4396	18743
57	4485	18714
58	4568	18659
59	4658	18633
60	4748	18605
61	4845	18598
62	4933	18559
63	5019	18509
64	5110	18476
65	5204	18450
66	5286	18385
67	5387	18379
68	5466	18302
69	5556	18258
70	5645	18208
71	5696	18038
72	5742	17856
73	5792	17691
74	5834	17503
75	5873	17312
76	5914	17130
77	5954	16946
78	5995	16771
79	6034	16594
80	6069	16410
81	6108	16238
82	6145	16067
83	6184	15902
84	6221	15735
85	6264	15587
86	6299	15423
87	6336	15266
88	6374	15113
89	6412	14961
90	6454	14824
91	6494	14683
92	6533	14543
93	6570	14399
94	6608	14260
95	6645	14121
96	6683	13987
97	6720	13852
98	6763	13731
99	6799	13598
100	6836	13470
101	6873	13342
102	6913	13222
103	6952	13103
104	6995	12992
105	7036	12878
106	7074	12760
107	7115	12650
108	7153	12535
109	7193	12425
110	7231	12312
111	7270	12204
112	7310	12097
113	7348	11989
114	7392	11891
115	7439	11800
116	7485	11708
117	7540	11630
118	7600	11560
119	7640	11460
120	7677	11358
121	7716	11258
122	7759	11166
123	7797	11067
124	7837	10972
125	7878	10879
126	7917	10785
127	7955	10689
128	7994	10597
129	8033	10505
130	8070	10411
131	8111	10323
132	8148	10231
133	8187	10143
134	8224	10051
135	8261	9962
136	8303	9878
137	8342	9792
138	8380	9706
139	8419	9622
140	8456	9535
141	8496	9454
142	8536	9372
143	8574	9288
144	8613	9207
145	8652	9126
146	8689	9044
147	8728	8964
148	8770	8888
149	8809	8809
150	8848	8731
151	8887	8653
152	8922	8572
153	8960	8494
154	8999	8419
155	9040	8345
156	9079	8270
157	9115	8192
158	9153	8117
159	9194	8045
160	9234	7972
161	9274	7900
162	9310	7825
163	9353	7756
164	9396	7688
165	9445	7624
166	9499	7565
167	9547	7501
168	9588	7432
169	9628	7362
170	9666	7292
171	9705	7222
172	9747	7155
173	9785	7085
174	9828	7020
175	9868	6952
176	9913	6888
177	9960	6827
178	10007	6765
179	10049	6699
180	10101	6641
181	10149	6580
182	10193	6517
183	10243	6457
184	10291	6397
185	10339	6337
186	10386	6276
187	10432	6215
188	10481	6156
189	10528	6095
190	10579	6037
191	10625	5976
192	10665	5912
193	10705	5849
194	10780	5805
195	11050	5863
196	11164	5837
197	11300	5821
198	11378	5775
199	11478	5739
200	11578	5702
201	11658	5655
202	11741	5610
203	11823	5564
204	11901	5515
205	12004	5477
206	12101	5437
207	12194	5393
208	12282	5347
209	12376	5304
210	12467	5258
211	12557	5212
212	12644	5164
213	12733	5117
214	12819	5068
215	12931	5028
216	13021	4980
217	13104	4929
218	13191	4878
219	13277	4828
220	13358	4775
221	13454	4727
222	13545	4677
223	13627	4623
224	13709	4569
225	13810	4521
226	13900	4470
227	14009	4424
228	14098	4371
229	14180	4315
230	14269	4262
231	14346	4204
232	14438	4151
233	14525	4096
234	14620	4043
235	14711	3989
236	14801	3934
237	14880	3876
238	14976	3822
239	15058	3764
240	15151	3709
241	15243	3653
242	15323	3594
243	15412	3537
244	15505	3480
245	15595	3423
246	15695	3367
247	15763	3305
248	15816	3239
249	15871	3174
250	15918	3107
251	15961	3040
252	16014	2975
253	16063	2909
254	16109	2842
255	16156	2776
256	16200	2710
257	16245	2644
258	16289	2578
259	16336	2513
260	16385	2448
261	16422	2381
262	16467	2316
263	16506	2250
264	16545	2185
265	16579	2119
266	16618	2053
267	16661	1989
268	16701	1924
269	16746	1860
270	16798	1797
271	16849	1734
272	16892	1670
273	16936	1607
274	16977	1543
275	17016	1479
276	17055	1416
277	17094	1352
278	17133	1289
279	17174	1226
280	17212	1163
281	17245	1100
282	17282	1038
283	17322	975
284	17362	913
285	17401	851
286	17443	790
287	17491	728
288	17541	667
289	17584	606
290	17627	545
291	17667	484
292	17706	423
293	17744	362
294	17785	301
295	17832	240
296	17880	180
297	17929	120
298	17978	60
299	18019	0
